key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,54,54,63,1,5f19902fd2b95f025c1b0ff3,RRRRRRO,RRRRRRR,21.35278725,19.62521613,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,55,55,55,1,5f19902fd2b95f025c1b0ff3,RRORRRO,RRORRRR,21.56657303,21.21223021,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,56,56,2,1,5f19902fd2b95f025c1b0ff3,OOOOROO,OOOOROR,20.43051175,21.02936224,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,57,57,6,1,5f19902fd2b95f025c1b0ff3,OOORROO,OOORROR,21.12383932,21.38562617,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,58,58,14,1,5f19902fd2b95f025c1b0ff3,OORRROO,OORRROR,22.24142883,22.16977179,series_0,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,59,59,33,1,5f19902fd2b95f025c1b0ff3,ROOOORO,ROOOORR,20.83779602,22.03072203,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,60,60,20,1,5f19902fd2b95f025c1b0ff3,OROROOO,OROROOR,21.31236711,21.90565814,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,61,61,53,1,5f19902fd2b95f025c1b0ff3,RRORORO,RRORORR,20.71309134,21.90565814,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,62,62,28,1,5f19902fd2b95f025c1b0ff3,ORRROOO,ORRROOR,22.24142883,22.53364006,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
,0,63,63,12,1,5f19902fd2b95f025c1b0ff3,OORROOO,OORROOR,21.30250474,22.02786418,series_1,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,,,,,,,,
